variable_name,data_group,variable1,variable1_definition,variable2,variable2_definition,code1,code1_definition,code2,code2_definition
APPSEX_1_PURPOSE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,Male,1,Home purchase
APPSEX_1_PURPOSE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,Male,2,Home improvement
APPSEX_1_PURPOSE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,Male,3,Refinancing
APPSEX_1_PURPOSE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,Male,4,Multifamily
APPSEX_2_LOANTYPE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",2,Female,1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)"
APPSEX_2_LOANTYPE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",2,Female,2,FHA-insured (Federal Housing Administration)
APPSEX_2_LOANTYPE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",2,Female,3,VA- guaranteed (Veterans Administration
APPSEX_2_LOANTYPE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",2,Female,4,FSA/RHS (Farm Service Agency or Rural Housing Service)
APPSEX_2_OCCUPANC_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,Female,1,Owner-occupied as a principal dwelling
APPSEX_2_OCCUPANC_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,Female,2,Not owner-occupied
APPSEX_2_OCCUPANC_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,Female,3,Not applicable
APPSEX_2_PRCH_TYP1_FHLMC,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,Female,FHLMC,Freddie Mac
APPSEX_2_PRCH_TYP1_FNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,Female,FNMA,Fannie Mae
APPSEX_2_PRCH_TYP1_GNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,Female,GNMA,Ginnie Mae
APPSEX_2_PRCH_TYP1_OTHER,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,Female,OTHER,"Farmer Mac, private securitization, commercial or savings bank, savings assoc., life insur. company, credit union, mortgage bank, or finance company"
APPSEX_2_PURPOSE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",2,Female,1,Home purchase
APPSEX_2_PURPOSE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",2,Female,2,Home improvement
APPSEX_2_PURPOSE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",2,Female,3,Refinancing
APPSEX_2_PURPOSE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",2,Female,4,Multifamily
APPSEX_3_LOANTYPE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",3,Information not provided by applicant in mail or telephone application,1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)"
APPSEX_3_LOANTYPE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",3,Information not provided by applicant in mail or telephone application,2,FHA-insured (Federal Housing Administration)
APPSEX_3_LOANTYPE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",3,Information not provided by applicant in mail or telephone application,3,VA- guaranteed (Veterans Administration
APPSEX_3_LOANTYPE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",3,Information not provided by applicant in mail or telephone application,4,FSA/RHS (Farm Service Agency or Rural Housing Service)
APPSEX_3_OCCUPANC_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",3,Information not provided by applicant in mail or telephone application,1,Owner-occupied as a principal dwelling
APPSEX_3_OCCUPANC_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",3,Information not provided by applicant in mail or telephone application,2,Not owner-occupied
APPSEX_3_OCCUPANC_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",3,Information not provided by applicant in mail or telephone application,3,Not applicable
APPSEX_3_PRCH_TYP1_FHLMC,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",3,Information not provided by applicant in mail or telephone application,FHLMC,Freddie Mac
APPSEX_3_PRCH_TYP1_FNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",3,Information not provided by applicant in mail or telephone application,FNMA,Fannie Mae
APPSEX_3_PRCH_TYP1_GNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",3,Information not provided by applicant in mail or telephone application,GNMA,Ginnie Mae
APPSEX_3_PRCH_TYP1_OTHER,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",3,Information not provided by applicant in mail or telephone application,OTHER,"Farmer Mac, private securitization, commercial or savings bank, savings assoc., life insur. company, credit union, mortgage bank, or finance company"
APPSEX_3_PURPOSE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",3,Information not provided by applicant in mail or telephone application,1,Home purchase
APPSEX_3_PURPOSE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",3,Information not provided by applicant in mail or telephone application,2,Home improvement
APPSEX_3_PURPOSE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",3,Information not provided by applicant in mail or telephone application,3,Refinancing
APPSEX_3_PURPOSE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",3,Information not provided by applicant in mail or telephone application,4,Multifamily
APPSEX_4_LOANTYPE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",4,Not applicable,1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)"
APPSEX_4_LOANTYPE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",4,Not applicable,2,FHA-insured (Federal Housing Administration)
APPSEX_4_LOANTYPE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",4,Not applicable,3,VA- guaranteed (Veterans Administration
APPSEX_4_LOANTYPE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",4,Not applicable,4,FSA/RHS (Farm Service Agency or Rural Housing Service)
APPSEX_4_OCCUPANC_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",4,Not applicable,1,Owner-occupied as a principal dwelling
APPSEX_4_OCCUPANC_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",4,Not applicable,2,Not owner-occupied
APPSEX_4_OCCUPANC_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",4,Not applicable,3,Not applicable
APPSEX_4_PRCH_TYP1_FHLMC,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",4,Not applicable,FHLMC,Freddie Mac
APPSEX_4_PRCH_TYP1_FNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",4,Not applicable,FNMA,Fannie Mae
APPSEX_4_PRCH_TYP1_GNMA,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",4,Not applicable,GNMA,Ginnie Mae
APPSEX_4_PRCH_TYP1_OTHER,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",4,Not applicable,OTHER,"Farmer Mac, private securitization, commercial or savings bank, savings assoc., life insur. company, credit union, mortgage bank, or finance company"
APPSEX_4_PURPOSE_1,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",4,Not applicable,1,Home purchase
APPSEX_4_PURPOSE_2,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",4,Not applicable,2,Home improvement
APPSEX_4_PURPOSE_3,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",4,Not applicable,3,Refinancing
APPSEX_4_PURPOSE_4,HMDA,APPSEX,APPSEX indicates whether applicant is male or female.,PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",4,Not applicable,4,Multifamily
LOANTYPE_1_OCCUPANC_1,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",1,Owner-occupied as a principal dwelling
LOANTYPE_1_OCCUPANC_2,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",2,Not owner-occupied
LOANTYPE_1_OCCUPANC_3,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",3,Not applicable
LOANTYPE_1_OCCUPANC_4,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",4,Not available
LOANTYPE_1_PRCH_TYP1_FHLMC,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",FHLMC,Freddie Mac
LOANTYPE_1_PRCH_TYP1_FNMA,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",FNMA,Fannie Mae
LOANTYPE_1_PRCH_TYP1_GNMA,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",GNMA,Ginnie Mae
LOANTYPE_1_PRCH_TYP1_OTHER,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",OTHER,"Farmer Mac, private securitization, commercial or savings bank, savings assoc., life insur. company, credit union, mortgage bank, or finance company"
LOANTYPE_1_PURPOSE_1,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",1,Home purchase
LOANTYPE_1_PURPOSE_2,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",2,Home improvement
LOANTYPE_1_PURPOSE_3,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",3,Refinancing
LOANTYPE_1_PURPOSE_4,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PURPOSE,"PURPOSE indicates whether the purpose of the loan or application was for home purchase, home improvement, or refinancing.",1,"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",4,Multifamily
LOANTYPE_2_OCCUPANC_1,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,FHA-insured (Federal Housing Administration),1,Owner-occupied as a principal dwelling
LOANTYPE_2_OCCUPANC_2,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,FHA-insured (Federal Housing Administration),2,Not owner-occupied
LOANTYPE_2_OCCUPANC_3,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",OCCUPANC,"OCCUPANC indicates whether the property to which the loan application relates will be the owner's principal dwelling. For multifamily dwellings (housing five or more families), and any dwellings located outside MSA/MDs, or in MSA/MDs where an institution does not have home or branch offices, an institution may either enter the code for not applicable or the code for the actual occupancy status.",2,FHA-insured (Federal Housing Administration),3,Not applicable
LOANTYPE_2_PRCH_TYP1_FHLMC,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,FHA-insured (Federal Housing Administration),FHLMC,Freddie Mac
LOANTYPE_2_PRCH_TYP1_FNMA,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,FHA-insured (Federal Housing Administration),FNMA,Fannie Mae
LOANTYPE_2_PRCH_TYP1_GNMA,HMDA,LOANTYPE,"LOANTYPE indicates whether the loan granted, applied for, or purchased was conventional, government-guaranteed, or government-insured",PRCH_TYP1,"PRCH_TYPE1 identifies the type of purchaser for loans sold in the same calendar year in which it was originated or purchased. If the loan is sold to more than one purchaser, the entity purchasing the greatest interest is reported. Re-coded from PRCH_TYP into 4 categories.",2,FHA-insured (Federal Housing Administration),GNMA,Ginnie Mae
